al.Manufacturer,al.Model Number,al.Product Type,al.IP Address,al.MAC Address,al.PO Number,acc.Account Name,Lifecycle Asset Type,lm.Building Name,lm.Room Name,lm.Room Code,Install Date,Replacement Year
Panasonic,PT-MZ780WU,Display,,,,University of Utah,Classroom,GC,GC 1780,1780,"Jan 01, 2019",2026
Trendnet,TPE-TG50g/A,Networking,,,,University of Utah,Classroom,AEB,AEB 360 - F,360 - F,"Jan 01, 2019",2026
Trendnet,TPE-TG44E,Networking,,,,University of Utah,Classroom,BEHS,BEHS 106,106,"Jan 01, 2019",2026
Crestron,CEN-SW-POE-5,Networking,,,,University of Utah,Classroom,BUC,BUC 106 - F,106 - F,"Jan 01, 2019",2026
Trendnet,TPE-TG44g/A,Networking,,,,University of Utah,Classroom,BUC,BUC 207-F,207-F,"Jan 01, 2019",2026
Crestron,TSW-770,User Interface,10.88.40.57,c4.42.68.25.72.dc,,University of Utah,Classroom,BUC,BUC 211 - F,211 - F,"Jan 01, 2019",2026
Crestron,C2N-DAP8,Accessory,,,,University of Utah,Classroom,CTIHB,CTIHB 109 - F,109 - F,"Jan 01, 2019",2026
Shure,MX202 W,Audio (Microphone),,,,University of Utah,Classroom,GC,GC 1575,1575,"Jan 01, 2019",2026
Crestron,CEN-SWPOE-16,Networking,10.88.5.185,,,University of Utah,Classroom,GC,GC 5620,5620,"Jan 01, 2019",2026
"?",,Accessory,,,,University of Utah,Classroom,HPR N,HPR N 226 - F,226 - F,"Jan 01, 2019",2026
Panasonic,PT-VMZ61U7,Display,,,,University of Utah,Classroom,HSEB,HSEB 3100B,3100B,"Jan 01, 2019",2026
Panasonic,PTMZ780,Display,,,,University of Utah,Classroom,GC,GC 2560,2560,"Jan 01, 2019",2026
Crestron,"Saros 6""","Audio (Speaker, amplifier)",,,,University of Utah,Classroom,BEHS,BEHS 101,101,"Jan 01, 2019",2026
Crestron,AM-3100,Wireless Presentation,10.88.39.145,c4.42.68.57.93.de,,University of Utah,Classroom,BEHS,BEHS 107,107,"Jan 01, 2019",2026
Da-Lite,,Accessory,,,,University of Utah,Classroom,BUC,BUC 107 - F,107 - F,"Jan 01, 2019",2026
Crestron,rmc3,Control Processor,10.88.38.65,00.10.7f.eb.ca.f5,,University of Utah,Classroom,BEHS,BEHS 113,113,"Jan 01, 2019",2026
Panasonic,PT-VMZ51,Display,,,,University of Utah,Classroom,BUC,BUC 301 - F,301 - F,"Jan 01, 2019",2026
Crestron,DMPS3-300-C,Control Processor,10.80.41.180,00.10.7f.5b.a1.72,,University of Utah,Classroom,FASB,FASB 101 - F,101 - F,"Jan 01, 2019",2026
Crestron,DM-TX-4KZ-100-C,"TX, RX, Scaler",,,,University of Utah,Classroom,GC,GC 2675,2675,"Jan 01, 2019",2026
Crestron,TSW-760,User Interface,10.80.38.32,00.10.7f.dc.47.e8,,University of Utah,Classroom,HEB,HEB 2010 - F,2010 - F,"Jan 01, 2019",2026
Epson,PowerLite L510U,Display,,38.1a.52.8d.b7.d4,,University of Utah,Classroom,HPR E,HPR E 206 - F,206 - F,"Jan 01, 2019",2026
Crestron,AMP-225,Control Processor,,,,University of Utah,Classroom,HSEB,HSEB 3100C,3100C,"Jan 01, 2019",2026
Sony,,Accessory,,,,University of Utah,Classroom,MLIB,MLIB 1160-F,1160-F,"Jan 01, 2019",2026
15,,"Audio (Speaker, amplifier)",,,,University of Utah,Classroom,HSEB,HSEB 1730,1730,"Jan 01, 2019",2026
Da-Lite,,Accessory,,,,University of Utah,Classroom,JTB,JTB 110,110,"Jan 01, 2019",2026
Crestron,DMRMC4k100c,"TX, RX, Scaler",,,,University of Utah,Classroom,HSEB,HSEB 2938,2938,"Jan 01, 2019",2026
JuiceGoose,CQ-1520,Accessory,,,,University of Utah,Classroom,MLIB,MLIB 1725-F,1725-F,"Jan 01, 2019",2026
Crestron,DMPS3-300-C,Control Processor,10.88.2.170,00.10.7F.C7.25.E3,,University of Utah,Classroom,MLIB,MLIB 1160-F,1160-F,"Jan 01, 2019",2026
Sennheiser,SKM 100S G4,Audio (Microphone),,,,University of Utah,Classroom,HSEB,HSEB 1730,1730,"Jan 01, 2019",2026
1 mic hanging from ceiling,,Audio (Microphone),,,,University of Utah,Classroom,JTB,JTB 110,110,"Jan 01, 2019",2026
Crestron,,Wireless Presentation,,,,University of Utah,Classroom,HSEB,HSEB 2931,2931,"Jan 01, 2019",2026
Sharp,LC-80LE650U,Display,,,,University of Utah,Classroom,MLIB,MLIB 1725-F,1725-F,"Jan 01, 2019",2026
Yamaha,BD-S477,Accessory,,,,University of Utah,Classroom,MLIB,MLIB 1150 - F,1150 - F,"Jan 01, 2019",2026
2 Ceiling mounted,"8"" Wide","Audio (Speaker, amplifier)",,,,University of Utah,Classroom,MCD,MCD 130 - F,130 - F,"Jan 01, 2019",2026
Rocware,RM-702,Audio (Microphone),,,,University of Utah,Classroom,HSEB,HSEB 5100D,5100D,"Jan 01, 2019",2026
Panasonic,PT-VMZ61,Display,,,,University of Utah,Classroom,HSEB,HSEB 2931,2931,"Jan 01, 2019",2026
Crestron,PW-4818DU,Networking,,,,University of Utah,Classroom,HSEB,HSEB 5100B,5100B,"Jan 01, 2019",2026
Sennheiser,EW-D EM,Audio (Microphone),,,,University of Utah,Classroom,MLIB,MLIB 1150 - F,1150 - F,"Jan 01, 2019",2026
Rocware,,Audio (Microphone),,,,University of Utah,Classroom,MCD,MCD 130 - F,130 - F,"Jan 01, 2019",2026
Atlona,AT-HDVS-CAM-HDMI-BK,Camera,,,,University of Utah,Classroom,HSEB,HSEB 2912,2912,"Jan 01, 2019",2026
Crestron,HD-RX-201-C-E,"TX, RX, Scaler",10.72.36.188,00:10:7f:97:30:c0,,University of Utah,Classroom,HSEB,HSEB 2928,2928,"Jan 01, 2019",2026
Crestron,DMPS3-300-C,Control Processor,10.72.36.155,00.10.7f.bd.b9.09,,University of Utah,Classroom,HSEB,HSEB 5100B,5100B,"Jan 01, 2019",2026
Crestron,HD-DA-2,Accessory,,,,University of Utah,Classroom,MLIB,MLIB 1130 - F,1130 - F,"Jan 01, 2019",2026
JBL,12 Ceiling Mounted,"Audio (Speaker, amplifier)",,,,University of Utah,Classroom,MLIB,MLIB 1130 - F,1130 - F,"Jan 01, 2019",2026
Da-Lite,Stewart,Accessory,,,,University of Utah,Classroom,MLIB,MLIB 1130 - F,1130 - F,"Jan 01, 2019",2026
Panasonic,PT-MZ682WU7,Display,,,,University of Utah,Classroom,BEHS,BEHS 110,110,"Jan 01, 2019",2026
Crestron,DM-TX-4KZ-202-C,"TX, RX, Scaler",,,,University Health Care,Conference Room,Helix,Small Conf 1C110,1C110,"Mar 28, 2024",2030
Polycom,Expansion Microphone,Audio (Microphone),,,,University Health Care,Conference Room,Helix,Medium Conf 3C050,3C050,"Mar 28, 2024",2030
Samsung,QB98R,Display,,,,University Health Care,Conference Room,Helix,Large Conf 2C115,2C115,"Mar 28, 2024",2030
Crestron,DM-TX-4KZ-202-C,"TX, RX, Scaler",,,,University Health Care,Conference Room,Helix,Small Conf 1C050,1C050,"Mar 28, 2024",2030
Polycom,Expansion Microphone,Audio (Microphone),,,,University Health Care,Conference Room,Helix,Medium Conf 5C050,5C050,"Mar 28, 2024",2030
LEA Professional,Connect 352,"Audio (Speaker, amplifier)",,,,University Health Care,Training Room,Helix,Multipurpose GS115,GS115,"Mar 28, 2024",2030
Polycom,Trio C60,Audio (Microphone),,,,University Health Care,Conference Room,Helix,Medium Conf 1C106,1C106,"Mar 28, 2024",2030
Samsung,QB85R,Display,,,,University Health Care,Conference Room,Helix,Large Conf 3C115,3C115,"Mar 28, 2024",2030
Samsung,QB65R,Display,,,,University Health Care,Conference Room,Helix,Small Conf 3C108,3C108,"Mar 28, 2024",2030
